address,zip,sqft,baths,beds,lat,long,rent
"9606 Ancient Oak Ln #307, Verona, WI 53593",53593,1345.0,2.0,2.0,43.045377,-89.555977,1690.0
"6524 Tottenham Rd, Madison, WI 53711",53711,1203.0,1.5,3.0,43.029582,-89.494515,1345.0
"111 N Hamilton St APT 205, Madison, WI 53703",53703,1162.0,1.0,1.0,43.076831,-89.383854,1650.0
"2129 Center Ave APT 2, Madison, WI 53704",53704,1428.0,2.0,3.0,43.091273,-89.349704,1795.0
"7109 Century Ave, Middleton, WI 53562",53562,1550.0,1.5,3.0,43.110025,-89.503882,1600.0
"554 Junction Rd #406, Madison, WI 53717",53717,899.0,1.0,1.0,43.072614,-89.526565,1300.0
"2316 Montana Ave, Sun Prairie, WI 53590",53590,1200.0,2.5,3.0,43.186817,-89.2529,1650.0
"1717 Monroe St APT 101, Madison, WI 53711",53711,650.0,1.0,2.0,43.065579,-89.415607,1320.0
"201 N Walbridge Ave, Madison, WI 53714",53714,1034.0,1.0,1.0,43.101583,-89.312027,1175.0
"1611 Reetz Rd, Madison, WI 53711",53711,1100.0,1.0,2.0,43.034967,-89.460948,1450.0
"1715 Carns Dr, Madison, WI 53719",53719,2050.0,3.0,3.0,43.033165,-89.523462,2000.0
"1712 Van Hise Ave #2, Madison, WI 53726",53726,600.0,1.0,1.0,43.069738,-89.415721,995.0
"2310 Willard Ave #2, Madison, WI 53704",53704,1120.0,1.0,2.0,43.091464,-89.347306,1700.0
"222 Randolph Dr, Madison, WI 53717",53717,700.0,1.0,1.0,43.062843,-89.515005,875.0
"3864 Maple Grove Dr APT 211, Madison, WI 53719",53719,1330.0,2.0,2.0,43.005262,-89.499515,1715.0
"417 N 7th St, Madison, WI 53704",53704,926.0,1.0,1.0,43.103097,-89.35346,1650.0
"1341 South St #16, Madison, WI 53715",53715,750.0,1.0,2.0,43.05092,-89.397436,890.0
"1216 Williamson St #5, Madison, WI 53703",53703,550.0,1.0,1.0,43.083858,-89.364009,950.0
"1726 Hoyt St, Madison, WI 53726",53726,130.0,1.0,1.0,43.070566,-89.41651,495.0
"416 E Wilson St #25, Madison, WI 53703",53703,750.0,1.0,2.0,43.075799,-89.377223,1250.0
"2 Sonora Ct, Madison, WI 53719",53719,1636.0,2.0,3.0,43.018403,-89.512212,1800.0
"50 S Henry St #50, Madison, WI 53703",53703,1821.0,2.5,2.0,43.071911,-89.38707,2895.0
"1922 Fordem Ave, Madison, WI 53704",53704,800.0,1.0,1.0,43.099242,-89.364265,930.0
"360 W Washington Ave, Madison, WI 53703",53703,1250.0,2.0,2.0,43.072067,-89.388395,2295.0
"6809 Fieldwood Rd, Madison, WI 53718",53718,1724.0,2.0,3.0,43.163968,-89.289199,2000.0
"215 S Bassett St, Madison, WI 53703",53703,2524.0,2.0,7.0,43.068352,-89.388016,4375.0
"501 Columbus St, Sun Prairie, WI 53590",53590,1942.0,2.0,5.0,43.188423,-89.208082,2300.0
"509 Donofrio Dr UNIT 2, Madison, WI 53719",53719,427.0,1.0,0.0,43.056558,-89.514495,800.0
"3305 Nightingale Ln, Middleton, WI 53562",53562,1683.0,1.5,3.0,43.109425,-89.502864,1445.0
"5742 Tudor Dr, Fitchburg, WI 53711",53711,1300.0,2.5,2.0,42.99926,-89.441424,1770.0
"1507 Langley Ln, Madison, WI 53718",53718,1344.0,1.5,3.0,43.077601,-89.275177,1800.0
"57 Wirth Ct, Madison, WI 53704",53704,1144.0,1.5,4.0,43.098231,-89.342532,1685.0
"4918 Ascot Ln #2, Madison, WI 53711",53711,1000.0,1.0,2.0,43.060559,-89.462227,1250.0
"510 W Main St APT 406, Madison, WI 53703",53703,730.0,1.0,1.0,43.069146,-89.390331,1125.0
"5109 Maher Ave, Madison, WI 53716",53716,1144.0,2.0,3.0,43.065677,-89.313527,1900.0
"406 Paunack Pl APT A, Madison, WI 53726",53726,650.0,1.0,1.0,43.073201,-89.420703,815.0
"107 S Franklin St, Madison, WI 53703",53703,1229.0,1.0,3.0,43.076953,-89.378027,1900.0
"2329 Sommers Ave #2, Madison, WI 53704",53704,1250.0,1.0,2.0,43.09267,-89.346938,2000.0
"1481 Carver St #B4, Madison, WI 53713",53713,736.0,1.0,1.0,43.044257,-89.405478,995.0
"5737 Bittersweet Pl, Madison, WI 53705",53705,1800.0,2.0,4.0,43.073565,-89.481485,2600.0
"3403 Webber Rd #5, Middleton, WI 53562",53562,749.0,1.0,2.0,43.112008,-89.508952,845.0
"1052 Spaight St, Madison, WI 53703",53703,1500.0,1.5,3.0,43.080749,-89.364767,1950.0
"532 W Washington Ave APT 202, Madison, WI 53703",53703,880.0,2.0,2.0,43.069675,-89.391252,1495.0
