contingent,units,beds,baths,sqft,rent,list_price,address,zip,urls,listings,lats,longs,year_built,street_address,city_state,list_date,original_price,propertyType,propertyType2
No,2.0,,0.0,1452.0,0.0,139999,"163 Stark Street, Randolph, WI",53956,https://www.homesnap.com/WI/Randolph/163-Stark-Street,100747723,43.538189,-89.005477,,163 Stark Street,"Randolph, WI",2021-02-10,139999,8,128
No,,4.0,3.5,3564.0,0.0,449000,"1501 Pleasant View Drive, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/1501-Pleasant-View-Drive,100678836,43.632142,-89.756116,1990.0,1501 Pleasant View Drive,"Wisconsin Dells, WI",2021-02-09,449000,1,1
No,1.0,,0.0,,0.0,625000,"799 Maple Avenue, Columbus, WI",53925,https://www.homesnap.com/WI/Columbus/799-Maple-Avenue,100734993,43.341936,-89.031411,1991.0,799 Maple Avenue,"Columbus, WI",2021-02-09,625000,8,128
No,,,0.0,,0.0,59000,"Lot 1 Lincoln Avenue, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/Lot-1-Lincoln-Avenue,100753674,43.473136,-89.721527,,Lot 1 Lincoln Avenue,"Baraboo, WI",2021-02-09,59000,8,32
No,,,0.0,,0.0,59000,"Lot 2 Lincoln Avenue, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/Lot-2-Lincoln-Avenue,100754455,43.473136,-89.721527,,Lot 2 Lincoln Avenue,"Baraboo, WI",2021-02-09,59000,8,32
No,,,0.0,,0.0,112000,"L1 & L2 Lincoln Avenue, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/L1-L2-Lincoln-Avenue,100755215,43.473136,-89.721527,,L1 & L2 Lincoln Avenue,"Baraboo, WI",2021-02-09,112000,8,32
Yes,,4.0,2.0,1595.0,0.0,234900,"W10751 E Harmony Drive, Lodi, WI",53555,https://www.homesnap.com/WI/Lodi/W10751-E-Harmony-Drive,100682757,43.37244,-89.533927,1985.0,W10751 E Harmony Drive,"Lodi, WI",2021-02-08,234900,1,1
No,,4.0,4.0,4349.0,0.0,595000,"1003 Hillside Court, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/1003-Hillside-Court,100649275,43.63138,-89.752343,1990.0,1003 Hillside Court,"Wisconsin Dells, WI",2021-02-07,615000,1,1
Yes,,3.0,2.0,1261.0,0.0,179900,"819 E Edgewater Street, Portage, WI",53901,https://www.homesnap.com/WI/Portage/819-E-Edgewater-Street,100657290,43.544861,-89.447024,1980.0,819 E Edgewater Street,"Portage, WI",2021-02-07,179900,1,1
Yes,,3.0,2.0,1500.0,0.0,199000,"1105 W Conant Street, Portage, WI",53901,https://www.homesnap.com/WI/Portage/1105-W-Conant-Street,100619667,43.539617,-89.479433,1880.0,1105 W Conant Street,"Portage, WI",2021-02-05,199000,1,1
Yes,,3.0,2.0,1326.0,0.0,229000,"1211 10th Street, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/1211-10th-Street,100610893,43.476852,-89.720211,1983.0,1211 10th Street,"Baraboo, WI",2021-02-05,229000,1,1
No,,3.0,3.5,2424.0,0.0,349900,"W14529 Obrien Road, Prairie Du Sac, WI",53578,https://www.homesnap.com/WI/Prairie-Du-Sac/W14529-Obrien-Road,100639312,43.305608,-89.722081,1964.0,W14529 Obrien Road,"Prairie Du Sac, WI",2021-02-05,349900,1,1
