contingent,units,beds,baths,sqft,rent,list_price,address,zip,urls,listings,lats,longs,year_built,street_address,city_state,list_date,original_price,propertyType,propertyType2
No,,,0.0,,0.0,39900,"L9 Devil's Doorway Road, Merrimac, WI",53561,https://www.homesnap.com/WI/Merrimac/L9-Devils-Doorway-Road,100458257,43.393081,-89.640154,,L9 Devil's Doorway Road,"Merrimac, WI",2021-01-30,39900,8,32
Yes,,3.0,2.0,1100.0,0.0,199000,"1093 Canyon Road #608, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/1093-Canyon-Road/property/6562486,100340234,43.598442,-89.773104,1990.0,1093 Canyon Road #608,"Wisconsin Dells, WI",2021-01-29,199000,4,4
Yes,,4.0,2.0,3000.0,0.0,550000,"5525 Schuman Road, Cross Plains, WI",53528,https://www.homesnap.com/WI/Cross-Plains/5525-Schuman-Road,100383119,43.158037,-89.643727,1986.0,5525 Schuman Road,"Cross Plains, WI",2021-01-29,550000,1,1
Yes,,2.0,1.0,1400.0,0.0,155000,"646 10th Street, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/646-10th-Street,100335853,43.476321,-89.731712,1954.0,646 10th Street,"Baraboo, WI",2021-01-29,155000,1,1
Yes,,3.0,1.0,1620.0,0.0,120000,"110 Ellinwood Avenue, Reedsburg, WI",53959,https://www.homesnap.com/WI/Reedsburg/110-Ellinwood-Avenue,100350323,43.53214,-90.020798,1950.0,110 Ellinwood Avenue,"Reedsburg, WI",2021-01-28,120000,1,1
No,,3.0,2.0,2300.0,0.0,600000,"895 Canyon Road #103, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/895-Canyon-Road/property/600032054583,100471231,43.596492,-89.777425,2008.0,895 Canyon Road #103,"Wisconsin Dells, WI",2021-01-28,600000,4,4
No,,,0.0,,0.0,259000,"L423 & 428 E Durkee Street, Lake Delton, WI",53965,https://www.homesnap.com/WI/Lake-Delton/L423-428-E-Durkee-Street,100414382,43.591262,-89.791056,,L423 & 428 E Durkee Street,"Lake Delton, WI",2021-01-28,259000,8,32
No,,4.0,3.0,2360.0,0.0,399000,"2023 Mustang Drive, Prairie Du Sac, WI",53578,https://www.homesnap.com/WI/Prairie-Du-Sac/2023-Mustang-Drive,100295935,43.297916,-89.746966,2005.0,2023 Mustang Drive,"Prairie Du Sac, WI",2021-01-27,399000,1,1
Yes,,4.0,2.0,1664.0,0.0,79900,"309 W Broadway, Rock Springs, WI",53961,https://www.homesnap.com/WI/Rock-Springs/309-W-Broadway,100326589,43.477754,-89.920625,1915.0,309 W Broadway,"Rock Springs, WI",2021-01-27,79900,1,1
No,1.0,,0.0,1200.0,0.0,249900,"1222 E Main Street, Reedsburg, WI",53959,https://www.homesnap.com/WI/Reedsburg/1222-E-Main-Street,100229877,43.532014,-89.991079,,1222 E Main Street,"Reedsburg, WI",2021-01-27,249900,8,128
