address,zip,units,list_price,rent,rent_estimate_beds,rent_estimate_sqft,beds,sqft,year_built,baths,mortgage,dp+close,1yr CF,1yr growth,3yr growth,5yr growth,unemploy %,family %,college %,poverty %,vacancy,med_age,price_to_rent,price_to_rent_est_sqft,price_to_rent_est_beds
"5712 Levitan Lane, Madison, WI",53718,1,389900,NA,1951.25,2403.759091,3,2184,2018,2.5,24238,17646,-35396,4.5,7.7,11.7,1.9,82.8,8,3.4,6.1,36.4,inf,13.5170229,16.65171898
"9 Saukdale Tr, Madison, WI",53717,1,235000,NA,1497.361111,1687.79272,2,1339,1995,1.5,14609,12225,-22049,2.4,0.2,-3.8,1.6,81.4,5.5,4.6,2.9,50.6,inf,11.60292559,13.07856414
"1235 Brunette Downs Drive, Madison, WI",53718,1,384900,NA,2642.777778,2843.645562,4,2713,2019,3,23927,17472,-34965,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,11.27953513,12.13685096
"6111 Saturn Drive, Madison, WI",53718,1,324900,NA,1996.666667,1633.5086,3,1572,2019,2,20197,15372,-29795,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,16.57475204,13.56010017
"6024 Aries Way, Madison, WI",53718,1,374900,NA,1996.666667,1913.033926,3,1841,2019,2,23305,17122,-34103,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,16.33095275,15.64691152
"4201 Owl Creek Drive, Madison, WI",53718,16,3300000,NA,3765.5,5109.5471,6,4800,2004,5,205141,119500,-286141,4.3,5.7,11,9.7,89.1,6.4,16.3,0,33.6,inf,53.82081711,73.03146992
"[Address Not Provided], Madison, WI",53718,1,409900,NA,2662.222222,2541.706129,4,2446,2019,2.5,25481,18346,-37119,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,13.4391356,12.8307596
"5708 Levitan Lane, Madison, WI",53718,1,409900,NA,2601.666667,2692.122132,4,2446,2019,2.5,25481,18346,-37119,4.5,7.7,11.7,1.9,82.8,8,3.4,6.1,36.4,inf,12.68825546,13.12940423
"3225 Prospect Drive, Madison, WI",53718,1,424900,NA,1951.666667,2249.328383,3,2304,2019,2.5,26413,18872,-38411,4.5,7.7,11.7,1.9,82.8,8,3.4,6.1,36.4,inf,15.74173589,18.14261315
"1237 Brunette Downs Drive, Madison, WI",53718,1,384900,NA,2642.777778,2843.645562,4,2713,2019,3,23927,17472,-34965,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,11.27953513,12.13685096
"3837 Monona Drive #4, Monona, WI",53714,1,429900,NA,1171.666667,2446.000643,2,1848,1985,3.5,26724,19046,-38842,-0.3,-3.9,-8,4.3,75.1,5.5,4.4,1.9,42.7,inf,14.64635756,30.57610242
"14 Brule Circle, Madison, WI",53717,1,479900,NA,2885,4325.696536,4,3129,1988,4,29832,20796,-43150,3.3,4.7,9.1,4.9,76.6,7,16.1,1.4,31.9,inf,9.245139213,13.86192952
"18 S Strathfield Circle, Madison, WI",53717,1,386900,NA,3001.388889,3075.55395,4,2584,1987,2.5,24051,17542,-35137,2.4,0.2,-3.8,1.6,81.4,5.5,4.6,2.9,50.6,inf,10.48320634,10.74224896
"3302 Chicago Avenue, Madison, WI",53714,1,199900,NA,2533.333333,2310.667254,4,1682,1903,2,12427,10996,-19025,-6.9,-2.9,-6.8,6.8,65.5,10.6,13.6,2.9,36.8,inf,7.209317267,6.575657895
"108 Ferchland Place, Monona, WI",53714,1,424900,NA,1776.25,2444.144985,3,1968,1978,2.5,26413,18872,-38411,-0.3,-3.9,-8,4.3,75.1,5.5,4.4,1.9,42.7,inf,14.48700202,19.93431856
