address,zip,units,list_price,rent,rent_estimate_beds,rent_estimate_sqft,beds,sqft,year_built,baths,mortgage,dp+close,1yr CF,1yr growth,3yr growth,5yr growth,unemploy %,family %,college %,poverty %,vacancy,med_age,price_to_rent,price_to_rent_est_sqft,price_to_rent_est_beds
"1025 E Gorham Street, Madison, WI",53703,2,359900,3350,4534.166667,2518.965342,6,1878,1889,2,22373,16596,7389,-0.3,8.8,11.5,4.5,37.7,17.5,17.9,3.3,29,8.952736318,11.90634352,6.614592906
"746 S Bird Street, Sun Prairie, WI",53590,2,259900,2290,2586.319444,3094.702214,5,3000,1970,3,16156,13096,3286,1.1,-0.8,-2.5,2.9,69.8,4.6,8.1,7.4,33.8,9.457787482,6.998519352,8.374191123
"2-4 Nantucket Court, Madison, WI",53719,2,309900,2690,2874.166667,2765.149761,6,2690,1985,2,19265,14847,3777,-1.7,-1.6,-8.6,6.7,77.6,6,22.9,3.9,34.8,9.600371747,9.33945798,8.985213105
"6751 Depot Street, Windsor, WI",53598,3,274900,2275,2296.666667,2694.440857,4,2565,1901,3,17089,13622,1813,0.4,0.9,1.1,4.3,86.5,5.4,5.1,3.7,40.3,10.06959707,8.502073175,9.974600871
"2652 Milwaukee Street, Madison, WI",53704,2,245000,2005,2542.333333,2746.863207,3,1678,1928,2,15230,12575,1150,-6.9,-2.9,-6.8,6.8,65.5,10.6,13.6,2.9,36.8,10.18287614,7.432720573,8.030680477
"1014 E Johnson Street, Madison, WI",53703,2,400000,3250,4534.166667,3634.928688,6,2710,1906,4,24866,18000,2734,-0.3,8.8,11.5,4.5,37.7,17.5,17.9,3.3,29,10.25641026,9.170285359,7.351589781
"41 Hart Road, Sun Prairie, WI",53590,4,555000,4500,6402.166667,4830.696305,12,4752,1981,6,34501,23425,4379,5.3,15.5,17.9,7.4,81.4,6,18.7,5.7,32.7,10.27777778,9.574189119,7.224116835
"930 Emerald Street, Madison, WI",53715,3,765000,5975,6181.083333,6202.323939,11,5109,1921,5,47555,30775,3985,-0.4,8.2,12.3,7.9,39.6,43.4,35.6,2.2,23.8,10.66945607,10.27840542,10.31372602
"6 Corona Court, Madison, WI",53719,2,395000,3080,3459.5,2869.775889,6,2900,1993,4,24555,17825,1125,3.6,4.5,8.9,1.3,77.3,7.9,5.8,4.9,32,10.68722944,11.47011751,9.514862456
"6664 Fairway Circle, Windsor, WI",53598,2,334900,2600,2870.833333,3179.755351,5,3027,1980,4,20819,15722,543,0.4,0.9,1.1,4.3,86.5,5.4,5.1,3.7,40.3,10.73397436,8.776880689,9.721335269
"1002 Severson Drive, Madison, WI",53718,2,515000,3950,5178.888889,4503.344471,8,4320,2005,6,32014,22025,1226,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,10.8649789,9.529954224,8.286848316
"2953 King James Way, Fitchburg, WI",53719,2,368000,2800,4897.333333,3585.495368,8,3384,1994,4,22876,16880,92,3.5,1.8,4.2,2.7,75.8,9.9,12.4,4.5,30.2,10.95238095,8.552979023,6.261911244
"421 Grand Avenue, Madison, WI",53705,2,375600,2850,5744,3369.80222,6,2216,1899,2,23349,17146,37,-3.8,-4.5,-1.8,2.1,35.1,56.6,45.2,2.7,23.4,10.98245614,9.288378948,5.449164345
"212 S Henry Street, Madison, WI",53703,2,389500,2950,6691.666667,1618.630757,6,1026,1904,2,24213,17632,39,6.8,14.2,37,2.4,30.3,19.3,22.7,14.9,32.8,11.00282486,20.05295722,4.850560399
"1818 Packers Avenue, Madison, WI",53704,2,224900,1700,2600,2184.586045,4,1768,1930,2,13981,11872,-779,0.5,2.6,-0.3,14.7,67.4,7.4,12.2,9.9,42.1,11.0245098,8.579047141,7.208333333
"7326 Santa fe Trail, Madison, WI",53719,2,435000,3170,3459.5,3152.795166,6,3186,1994,4,27041,19225,-1241,3.6,4.5,8.9,1.3,77.3,7.9,5.8,4.9,32,11.43533123,11.49773394,10.47839283
"736 E Johnson Street, Madison, WI",53703,5,500000,3495,1344.444444,2552.362378,2,2055,1885,4,31082,21500,-2942,-0.3,8.8,11.5,4.5,37.7,17.5,17.9,3.3,29,11.92179304,16.32474566,30.99173554
"4346 Eagle Ridge Lane, Windsor, WI",53598,4,993000,6800,6890,5840.581351,12,5560,2018,8,61729,38755,-5761,0.4,0.9,1.1,4.3,86.5,5.4,5.1,3.7,40.3,12.16911765,14.16811016,12.01015965
"815 Prospect Place, Madison, WI",53703,3,599000,4100,3149.652778,3261.792398,5,2712,1926,4,37236,24965,-4212,-0.3,8.8,11.5,4.5,37.7,17.5,17.9,3.3,29,12.17479675,15.30344687,15.84830779
"417 Simonson Street, Cambridge, WI",53523,2,204900,1400,2209.722222,1693.809995,4,1920,1974,2,12737,11172,-2655,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.19642857,10.08082373,7.727215588
"2027 University Avenue, Madison, WI",53726,3,574900,3905,5039.027778,3287.786043,7,2674,1910,3,35738,24122,-4476,-3.8,-4.5,-1.8,2.1,35.1,56.6,45.2,2.7,23.4,12.26845924,14.5716092,9.507455693
"765 Edgemore Drive, Sun Prairie, WI",53590,2,384900,2530,3409.083333,2997.158008,6,2924,1995,5,23927,17472,-4605,2.5,0.9,-2.1,8.2,83.2,6.9,8,0,34.8,12.67786561,10.70180481,9.408687575
"6875 & 6879 Rembrandt Road, Windsor, WI",53598,2,490000,3150,4593.333333,4254.380301,8,4050,2001,5,30460,21150,-6220,,,,3.3,86.2,6.4,5.5,0,34.6,12.96296296,9.597950923,8.88969521
"1704 Jefferson Street, Madison, WI",53711,2,455500,2900,3464.791667,3124.553291,5,2278,1912,2,28316,19942,-6248,-0.4,8.2,12.3,7.9,39.6,43.4,35.6,2.2,23.8,13.08908046,12.14840324,10.95544465
"117 Hart Road, Sun Prairie, WI",53590,4,469000,2845,4268.111111,4066.242681,8,4000,1971,4,29155,20415,-8071,5.3,15.5,17.9,7.4,81.4,6,18.7,5.7,32.7,13.73755126,9.611657837,9.157056205
"1642 Oconto Dr 809 Clarmar, Sun Prairie, WI",53590,2,370000,2225,3201.083333,3064.930421,6,3015,1994,4,23001,16950,-6981,1.1,-0.8,-2.5,2.9,69.8,4.6,8.1,7.4,33.8,13.8576779,10.06004349,9.632155781
"416 N Livingston Street, Madison, WI",53703,3,699000,4150,3193.402778,4254.868113,5,3396,1909,3,43453,28465,-12229,-0.3,8.8,11.5,4.5,37.7,17.5,17.9,3.3,29,14.03614458,13.69020107,18.24073067
"507 E Garfield Street, Mount Horeb, WI",53572,2,239900,1350,1773.125,2326.362292,3,2150,1972,2,14913,12396,-6271,1,4.4,4.5,4.6,83.6,4,4.8,3.9,38.4,14.80864198,8.593531084,11.27482082
"5564 River Road, Waunakee, WI",53597,4,624900,3215,3808.333333,3074.181,6,2904,1880,4,38846,25872,-17064,3.5,7,22.3,5.3,88.9,4.7,2.7,3.1,43.3,16.19751166,16.93947103,13.67396061
"2122 E Washington Avenue, Madison, WI",53704,2,379900,1750,3566.666667,3152.942858,5,2412,1925,2,23616,17296,-13534,3.4,-5.2,-10.3,8,63.8,8.5,21.3,5.5,37,18.09047619,10.04088395,8.876168224
"214 Jackson Street, Madison, WI",53704,2,349000,1040,1489.166667,1965.630068,2,1410,1921,2,21695,16215,-19391,-6.9,-2.9,-6.8,6.8,65.5,10.6,13.6,2.9,36.8,27.96474359,14.79593429,19.52993844
"300 Coyier Lane, Madison, WI",53713,17,959900,2005,1839.583333,2024.624625,3,1650,,3,59671,37596,-60449,-6.6,-8.2,-7.1,7.7,74.1,10.3,30.1,10,32.1,39.8960931,39.50938149,43.48357871
"1318 Williamson Street, Madison, WI",53703,4,1295000,1525,7404.166667,8895.620915,10,5600,1894,5,80502,49325,-95082,1.8,7.7,12.3,6.2,51.9,13.4,14.8,2.3,32.8,70.76502732,12.13143722,14.57512662
"3624 Speedway Road, Madison, WI",53705,1,324900,NA,2613.75,2388.700234,3,1615,1928,2,20197,15372,-29795,-3.8,-4.5,-1.8,2.1,35.1,56.6,45.2,2.7,23.4,inf,11.33461605,10.35868006
"4133 Mineral Point Road, Madison, WI",53705,1,465000,NA,4054.166667,3867.193128,5,2812,1935,2,28906,20275,-41866,0.6,2.1,6,8.4,82.1,6.3,2.4,4.7,42.2,inf,10.02018744,9.558067831
"625 N Segoe Road #811, Madison, WI",53705,1,599900,NA,2831.25,2785.253147,3,1721,2005,2,37292,24997,-53490,5.2,5.1,-2.5,5.4,61.5,22.8,11.9,8,35.9,inf,17.94869767,17.65710081
"38 S Meadow Lane, Madison, WI",53705,1,279500,NA,1599.166667,996.1874179,2,765,1942,1,17375,13783,-25883,0.4,-0.1,0.5,4.1,66.6,19.2,14.1,0.9,32.2,inf,23.38080792,14.56487754
"1729 Heim Avenue, Madison, WI",53705,1,849000,NA,4951.777778,5486.499686,8,4236,2007,4.5,52777,33715,-74953,-0.8,4.7,-3.6,7.1,69.5,13,6.7,8.8,41.9,inf,12.89528917,14.28779787
"5418 Old Middleton Road #303, Madison, WI",53705,1,625000,NA,1774.833333,4358.321214,3,2968,1995,3,38852,25875,-55652,2.4,0.2,-3.8,1.6,81.4,5.5,4.6,2.9,50.6,inf,11.95032004,29.34547845
"1244 Wellesley Road, Madison, WI",53705,1,899900,NA,4875,4999.158059,6,3695,1935,3.5,55941,35496,-79339,8.2,16.7,24.7,2.7,89.2,4.8,2.9,5.4,46.5,inf,15.0008593,15.38290598
"6720 Purcell Road, Belleville, WI",53508,1,449900,NA,1622.291667,2583.95809,3,2590,1990,3,27968,19746,-40566,4,14.2,11.7,4.4,82,4.8,2.2,4.2,38.9,inf,14.50939426,23.11031206
"514 N Midvale Boulevard, Madison, WI",53705,1,350000,NA,1750,2407.7928,2,1672,2005,2.5,21757,16250,-31957,5.2,5.1,-2.5,5.4,61.5,22.8,11.9,8,35.9,inf,12.11344542,16.66666667
"6221 Old Middleton Road, Madison, WI",53705,1,475000,NA,2630.166667,3024.911035,4,2315,1950,2,29528,20625,-42728,-6.2,0,-0.1,3.3,80.1,5,8.2,1.4,44.7,inf,13.0857843,15.04974336
"19 Mondale Court, Madison, WI",53705,1,220000,NA,1772.916667,1833.982513,3,1316,1978,1,13676,11700,-20756,2.4,0.2,-3.8,1.6,81.4,5.5,4.6,2.9,50.6,inf,9.996460272,10.34077556
"6714 Old Sauk Road, Madison, WI",53705,1,455000,NA,2643.055556,2940.765813,4,2673,1984,3.5,28285,19925,-41005,2.4,0.2,-3.8,1.6,81.4,5.5,4.6,2.9,50.6,inf,12.8934669,14.34576984
"2507 Kendall Avenue, Madison, WI",53705,1,339900,NA,2693.25,1638.816355,3,1096,1909,2,21130,15897,-31088,-3.8,-4.5,-1.8,2.1,35.1,56.6,45.2,2.7,23.4,inf,17.2838158,10.51703332
"5409 Denton Place, Madison, WI",53711,1,256000,NA,2758.333333,1786.882473,4,1644,1957,2,15914,12960,-23858,1,0.8,-3.5,6.8,80.3,6,14,4.5,42.8,inf,11.93885645,7.734138973
"14 Rembrandt Way, Fitchburg, WI",53711,1,350000,NA,1481.5,2052.328644,2,1730,2005,2,21757,16250,-31957,2.7,11,8.8,7.3,82.1,5.7,3.2,2.3,41.9,inf,14.21149909,19.68725391
"2306 Teal Drive, Madison, WI",53711,1,235000,NA,1933.5,1818.73806,3,1690,1965,1.5,14609,12225,-22049,1,0.8,-3.5,6.8,80.3,6,14,4.5,42.8,inf,10.76753919,10.1284372
"3801 Euclid Avenue, Madison, WI",53711,1,299900,NA,1696.666667,1560.556535,2,1037,1946,1,18643,14497,-27641,0.6,2.1,6,8.4,82.1,6.3,2.4,4.7,42.2,inf,16.01458589,14.72986248
"6701 Putnam Road, Madison, WI",53711,1,319500,NA,1548.125,2222.218035,3,2243,1988,1.5,19861,15183,-29329,3.5,1.8,4.2,2.7,75.8,9.9,12.4,4.5,30.2,inf,11.98127258,17.19822366
"1710 Cameron Drive, Madison, WI",53711,1,249900,NA,1580.583333,1909.593425,3,1910,1958,2,15535,12746,-23333,1,0.8,-3.5,6.8,80.3,6,14,4.5,42.8,inf,10.90546277,13.17551537
"913 Cornell Court, Madison, WI",53705,1,775000,NA,4474.166667,4549.2026,5,3096,1948,4,48177,31125,-68577,8.2,16.7,24.7,2.7,89.2,4.8,2.9,5.4,46.5,inf,14.19662719,14.43471782
"625 N Segoe Road #606, Madison, WI",53705,1,649900,NA,1887.5,2526.310379,2,1561,2006,2,40400,26747,-57798,5.2,5.1,-2.5,5.4,61.5,22.8,11.9,8,35.9,inf,21.43771953,28.69315673
"6326 Masthead Drive, Madison, WI",53705,1,370000,NA,1921.666667,2710.238558,3,2470,1965,1.5,23001,16950,-33681,2.7,1.3,0.3,4.6,77.2,7.1,6.2,4.4,44,inf,11.37661231,16.04509974
"2640 Chamberlain Avenue, Madison, WI",53705,1,514900,NA,2684.5,2993.128455,3,2037,1926,2,32008,22022,-46166,-3.8,-4.5,-1.8,2.1,35.1,56.6,45.2,2.7,23.4,inf,14.33561372,15.98373378
"2618 Myrtle Street, Madison, WI",53704,1,224900,NA,1409.166667,1369.773183,2,1048,1948,1,13981,11872,-21179,3.4,-5.2,-10.3,8,63.8,8.5,21.3,5.5,37,inf,13.6823139,13.29982259
"1930 Vahlen Street, Madison, WI",53704,1,250000,NA,1616.25,1923.28781,3,1702,1948,2,15541,12750,-23341,0.5,2.6,-0.3,14.7,67.4,7.4,12.2,9.9,42.1,inf,10.83214546,12.88992008
"3100 Lake Mendota Drive #202, Madison, WI",53705,1,325000,NA,1734.166667,1650.993866,2,1130,1963,1.5,20203,15375,-29803,0.6,2.4,-1.1,1.9,81.3,27.7,16.7,5.6,30,inf,16.40426043,15.61749159
"418 Wynnwood Way, Madison, WI",53705,1,329900,NA,2164.416667,2024.729437,3,1248,1956,1.5,20508,15547,-30226,3.3,-0.1,3.9,2.9,75,8,5.1,5.2,45.9,inf,13.57794585,12.70165172
"3417 Crestwood Drive, Madison, WI",53705,1,775000,NA,3468.333333,4120.179381,4,2820,1958,3.5,48177,31125,-68577,8.2,16.7,24.7,2.7,89.2,4.8,2.9,5.4,46.5,inf,15.67488387,18.62085536
"1 Thorstrand Road, Madison, WI",53705,1,1600000,NA,3740,6552.88176,6,5461,1922,4,99462,60000,-139662,-0.8,4.7,-3.6,7.1,69.5,13,6.7,8.8,41.9,inf,20.34728204,35.65062389
"3506 Lake Mendota Drive, Madison, WI",53705,1,1900000,NA,3560,9177.815891,4,5774,1993,3,118111,70500,-165511,8.2,16.7,24.7,2.7,89.2,4.8,2.9,5.4,46.5,inf,17.25174434,44.47565543
"6 Mount Rainier Lane, Madison, WI",53705,1,475000,NA,2596.388889,3386.048675,4,2980,1972,3,29528,20625,-42728,2.7,1.3,0.3,4.6,77.2,7.1,6.2,4.4,44,inf,11.69012531,15.24553333
"66 S Midvale Boulevard, Madison, WI",53705,1,249900,NA,2398.75,1729.329269,3,1328,1951,1.5,15535,12746,-23333,5.2,5.1,-2.5,5.4,61.5,22.8,11.9,8,35.9,inf,12.0422411,8.681605003
"5227 Harbor Court, Madison, WI",53705,1,734900,NA,1670.25,2440.345703,3,1755,1936,2,45684,29722,-65122,-0.8,4.7,-3.6,7.1,69.5,13,6.7,8.8,41.9,inf,25.09548815,36.66616774
"14 Wood Circle, Madison, WI",53705,1,365000,NA,1630.666667,2877.983894,3,2082,1972,1.5,22690,16775,-33250,-0.8,4.7,-3.6,7.1,69.5,13,6.7,8.8,41.9,inf,10.5687411,18.6529027
"6514 Old Sauk Road #8, Madison, WI",53705,1,460000,NA,1846.458333,2622.211821,3,2427,2019,2.5,28595,20100,-41435,2.4,0.2,-3.8,1.6,81.4,5.5,4.6,2.9,50.6,inf,14.61870205,20.76046485
"625 N Segoe Road #1003, Madison, WI",53705,1,989500,NA,1887.5,3685.079265,2,2277,2006,2.5,61511,38632,-87059,5.2,5.1,-2.5,5.4,61.5,22.8,11.9,8,35.9,inf,22.37627128,43.68653422
"5418 Old Middleton Road #205, Madison, WI",53705,1,319000,NA,591.6111111,1928.057869,1,1313,1995,2,19830,15165,-29286,2.4,0.2,-3.8,1.6,81.4,5.5,4.6,2.9,50.6,inf,13.78762213,44.9337966
"218 Glacier Drive, Madison, WI",53705,1,499900,NA,2633.055556,3687.801348,4,3442,1969,2.5,31076,21496,-44874,2.7,1.3,0.3,4.6,77.2,7.1,6.2,4.4,44,inf,11.296252,15.82128917
"625 N Segoe Road #701, Madison, WI",53705,1,619000,NA,1887.5,2621.795524,2,1620,2008,2,38479,25665,-55135,5.2,5.1,-2.5,5.4,61.5,22.8,11.9,8,35.9,inf,19.67481173,27.32891832
"1209 Shorewood Boulevard, Madison, WI",53705,1,1025000,NA,3468.333333,5196.978035,4,3557,1933,3,63718,39875,-90118,8.2,16.7,24.7,2.7,89.2,4.8,2.9,5.4,46.5,inf,16.43583369,24.62758289
"833 Maple Terrace, Madison, WI",53705,1,280000,NA,1749.166667,1299.806524,2,864,1950,1,17406,13800,-25926,8.2,16.7,24.7,2.7,89.2,4.8,2.9,5.4,46.5,inf,17.95138961,13.33968556
"3100 Lake Mendota Drive #706, Madison, WI",53705,1,525000,NA,1734.166667,1811.710083,2,1240,1963,2,32636,22375,-47036,0.6,2.4,-1.1,1.9,81.3,27.7,16.7,5.6,30,inf,24.14845533,25.22825565
"318 Palomino Lane, Madison, WI",53705,1,175000,NA,1742.5,1309.673189,2,884,1954,1,10879,10125,-16879,0.4,-0.1,0.5,4.1,66.6,19.2,14.1,0.9,32.2,inf,11.13509344,8.369201339
"130 Nautilus Drive, Madison, WI",53705,1,350000,NA,1921.666667,2276.819841,3,2075,1966,2.5,21757,16250,-31957,2.7,1.3,0.3,4.6,77.2,7.1,6.2,4.4,44,inf,12.8102655,15.17779705
"1749 Camelot Drive, Madison, WI",53705,1,430000,NA,2475.888889,2857.228118,4,2206,1977,2.5,26730,19050,-38850,-0.8,4.7,-3.6,7.1,69.5,13,6.7,8.8,41.9,inf,12.54129242,14.47291657
"1014 Shorewood Boulevard, Madison, WI",53705,1,550000,NA,3468.333333,2822.761193,4,1932,1939,2,34190,23250,-49190,8.2,16.7,24.7,2.7,89.2,4.8,2.9,5.4,46.5,inf,16.23705662,13.21480058
"1660 Capital Avenue, Madison, WI",53705,1,349900,NA,2349.222222,2614.640609,4,2029,1975,2,21751,16247,-31949,-0.8,4.7,-3.6,7.1,69.5,13,6.7,8.8,41.9,inf,11.15194694,12.41190938
"6225 Old Middleton Road, Madison, WI",53705,1,369900,NA,1972.625,3678.239553,3,2815,1950,2.5,22994,16946,-33672,-6.2,0,-0.1,3.3,80.1,5,8.2,1.4,44.7,inf,8.380367716,15.62638616
"211 W Sunset Court, Madison, WI",53705,1,550000,NA,2480,3191.990341,3,2325,1940,3,34190,23250,-49190,0.4,-0.1,0.5,4.1,66.6,19.2,14.1,0.9,32.2,inf,14.35885715,18.4811828
"3408 Circle Close, Madison, WI",53705,1,1050000,NA,4335.416667,5996.175951,5,4104,1952,3,65272,40750,-92272,8.2,16.7,24.7,2.7,89.2,4.8,2.9,5.4,46.5,inf,14.59263382,20.18260452
"225 W Sunset Court, Madison, WI",53705,1,425000,NA,2480,2206.248808,3,1607,1939,2,26420,18875,-38420,0.4,-0.1,0.5,4.1,66.6,19.2,14.1,0.9,32.2,inf,16.05288875,14.28091398
"625 N Segoe Road #507, Madison, WI",53705,1,595000,NA,1887.5,3240.021383,2,2002,2006,1.5,36988,24825,-53068,5.2,5.1,-2.5,5.4,61.5,22.8,11.9,8,35.9,inf,15.30339695,26.26931567
"1303 Edgehill Drive, Madison, WI",53705,1,1750000,NA,3468.333333,8024.122398,4,5492,1931,3.5,108787,65250,-152587,0.6,2.4,-1.1,1.9,81.3,27.7,16.7,5.6,30,inf,18.17436551,42.04709274
"1806 Laurel Crest, Madison, WI",53705,1,495000,NA,2332.555556,3758.597644,4,2731,1963,3,30771,21325,-44451,-0.8,4.7,-3.6,7.1,69.5,13,6.7,8.8,41.9,inf,10.97483793,17.68446625
"4249 Manitou Way, Madison, WI",53711,1,574900,NA,2243.833333,2683.296627,4,2390,1938,2.5,35738,24122,-51336,-1.6,-0.3,0.4,1,79,6.1,4,0,40.9,inf,17.8542815,21.35111045
"4917 Holiday Drive, Madison, WI",53711,1,399900,NA,2241.666667,2736.535201,4,2281,1961,3,24859,17996,-36257,-1.1,2.1,2,2.6,80.9,5.4,6.6,1.5,42.4,inf,12.1778079,14.866171
"2910 S Syene Road, Fitchburg, WI",53711,1,289900,NA,1993.5,1694.975666,3,1544,2019,2.5,18021,14147,-26779,4,14.2,11.7,4.4,82,4.8,2.2,4.2,38.9,inf,14.25290865,12.11855196
"11 Glen Brook Way #104, Fitchburg, WI",53711,1,395900,NA,1354.166667,1855.072704,2,1710,2017,2,24611,17856,-35913,4,14.2,11.7,4.4,82,4.8,2.2,4.2,38.9,inf,17.78456801,24.36307692
"555 S Midvale Boulevard #208, Madison, WI",53711,1,225000,NA,595.8333333,620.6400384,1,508,2008,1,13987,11875,-21187,0.6,2.1,6,8.4,82.1,6.3,2.4,4.7,42.2,inf,30.21074833,31.46853147
"1802 Monroe Street #304, Madison, WI",53711,1,459900,NA,1585.916667,1846.831391,2,1316,2006,2,28589,20096,-41427,0.7,4.8,6.4,2.5,84.3,11.1,2.3,0,42.8,inf,20.75175903,24.16583469
"6406 Jacobs Way, Madison, WI",53711,1,229900,NA,1434.125,1771.989962,3,1753,1976,2.5,14291,12046,-21609,-1.7,-1.6,-8.6,6.7,77.6,6,22.9,3.9,34.8,inf,10.81176177,13.35890061
"1118 Saybrook Road, Madison, WI",53711,1,265000,NA,1511.625,2186.062197,3,2044,1961,2,16473,13275,-24633,-1.7,-1.6,-8.6,6.7,77.6,6,22.9,3.9,34.8,inf,10.10187787,14.60900245
"5117 Whitcomb Drive, Madison, WI",53711,1,395000,NA,2389.666667,3453.822885,4,3028,1951,2.5,24555,17825,-35835,1,0.8,-3.5,6.8,80.3,6,14,4.5,42.8,inf,9.530502218,13.77458502
"2138 Keyes Avenue, Madison, WI",53711,1,469000,NA,2940.75,2538.575012,3,1815,1948,1.5,29155,20415,-42211,0.7,4.8,6.4,2.5,84.3,11.1,2.3,0,42.8,inf,15.39577643,13.29026042
"5643 Lacy Road, Fitchburg, WI",53711,1,249900,NA,2121.666667,1866.271051,3,1573,1950,1,15535,12746,-23333,2.7,11,8.8,7.3,82.1,5.7,3.2,2.3,41.9,inf,11.15861492,9.815396701
"2972 Woods Edge Way, Fitchburg, WI",53711,1,438000,NA,2048.5,4087.890376,3,3367,1993,2.5,27228,19330,-39540,4.7,8.4,11.4,7.2,73.5,8,19.3,5.3,31.1,inf,8.928810864,17.81791555
"925 Mohican Pass, Madison, WI",53711,1,335000,NA,1846.041667,2369.38788,3,1911,1952,2,20825,15725,-30665,-1.6,-0.3,0.4,1,79,6.1,4,0,40.9,inf,11.78222734,15.12244668
"1611 Madison Street, Madison, WI",53711,1,485000,NA,2098.875,2475.425673,3,1850,1923,1.5,30150,20975,-43590,-0.4,8.2,12.3,7.9,39.6,43.4,35.6,2.2,23.8,inf,16.32715824,19.25634765
"1107 Van Buren Street, Madison, WI",53711,1,499000,NA,3347.777778,2998.40763,5,2362,1966,2.5,31020,21465,-44796,-0.4,8.2,12.3,7.9,39.6,43.4,35.6,2.2,23.8,inf,13.86847236,12.42117491
"2689 McGaw Road, Fitchburg, WI",53711,1,375000,NA,2658.333333,3458.363115,4,3060,1976,3,23311,17125,-34111,4,14.2,11.7,4.4,82,4.8,2.2,4.2,38.9,inf,9.036066763,11.75548589
"1111 Garfield Street, Madison, WI",53711,1,509900,NA,2078.875,2787.134455,3,2032,1930,1.5,31697,21846,-45735,-0.4,8.2,12.3,7.9,39.6,43.4,35.6,2.2,23.8,inf,15.24564651,20.43974105
"2631 Pennington Circle, Fitchburg, WI",53711,1,350000,NA,3674.791667,3421.078608,5,2948,1979,3,21757,16250,-31957,2.7,11,8.8,7.3,82.1,5.7,3.2,2.3,41.9,inf,8.525576289,7.936957877
"2904 S Syene Road, Fitchburg, WI",53711,1,289900,NA,1993.5,1668.628894,3,1520,2019,2.5,18021,14147,-26779,4,14.2,11.7,4.4,82,4.8,2.2,4.2,38.9,inf,14.47795457,12.11855196
"481 Charles Lane, Madison, WI",53711,1,449900,NA,1787.5,2449.57338,3,2005,1954,3,27968,19746,-40566,0.6,2.1,6,8.4,82.1,6.3,2.4,4.7,42.2,inf,15.30538623,20.97435897
"5850 Scarlet Drive, Fitchburg, WI",53711,1,499900,NA,2914.666667,4264.853682,4,3609,1996,2.5,31076,21496,-44874,2.7,11,8.8,7.3,82.1,5.7,3.2,2.3,41.9,inf,9.7678224,14.29265782
"2205 Tanager Trail, Madison, WI",53711,1,239900,NA,2158.555556,1630.350286,4,1549,1961,2,14913,12396,-22471,1,0.8,-3.5,6.8,80.3,6,14,4.5,42.8,inf,12.26219104,9.261594688
"2210 S Whitney Way, Madison, WI",53711,1,250000,NA,1956.5,1648.658184,3,1554,1964,2,15541,12750,-23341,1,0.8,-3.5,6.8,80.3,6,14,4.5,42.8,inf,12.63653894,10.64826646
"501 Hilltop Drive, Madison, WI",53711,1,285000,NA,2333.333333,1539.188324,4,1404,1954,2,17717,13975,-26357,-1.1,2.1,2,2.6,80.9,5.4,6.6,1.5,42.4,inf,15.4302106,10.17857143
"5170 Irish Lane, Fitchburg, WI",53711,1,379900,NA,1856.958333,2038.691293,3,1761,1918,3,23616,17296,-34534,4,14.2,11.7,4.4,82,4.8,2.2,4.2,38.9,inf,15.5287529,17.04848879
"5467 Caddis Bend, Fitchburg, WI",53711,1,259000,NA,1184,1995.8117,2,1850,2002,2.5,16100,13065,-24116,4.7,8.4,11.4,7.2,73.5,8,19.3,5.3,31.1,inf,10.81431346,18.22916667
"6014 Raymond Road, Madison, WI",53711,1,219900,NA,2158.555556,1629.297768,4,1548,1967,2,13670,11696,-20748,-1.7,-1.6,-8.6,6.7,77.6,6,22.9,3.9,34.8,inf,11.24717676,8.489473413
"2878 S Syene Road, Fitchburg, WI",53711,1,324900,NA,1993.5,2000.159109,3,1822,2019,2.5,20197,15372,-29795,4.7,8.4,11.4,7.2,73.5,8,19.3,5.3,31.1,inf,13.53642312,13.58164033
"1716 Jefferson Street, Madison, WI",53711,1,719000,NA,2771.833333,3534.668056,4,2577,1899,2,44696,29165,-63752,-0.4,8.2,12.3,7.9,39.6,43.4,35.6,2.2,23.8,inf,16.95114385,21.61625879
"5326 Milward Drive, Madison, WI",53711,1,314000,NA,1741.666667,1959.256976,3,1644,1963,1.5,19519,14990,-28855,-1.1,2.1,2,2.6,80.9,5.4,6.6,1.5,42.4,inf,13.35540309,15.02392344
"5749 Dawley Drive, Fitchburg, WI",53711,1,779000,NA,3069.722222,6349.683188,5,5612,2001,5,48426,31265,-68922,4.7,8.4,11.4,7.2,73.5,8,19.3,5.3,31.1,inf,10.22360719,21.14740747
"66 White Oaks Lane, Madison, WI",53711,1,550000,NA,1544.375,3809.162063,3,3440,1994,3.5,34190,23250,-49190,-1.7,-1.6,-8.6,6.7,77.6,6,22.9,3.9,34.8,inf,12.03239258,29.67759342
"2840 No Oaks Ridge, Fitchburg, WI",53711,1,465000,NA,1993.5,2859.722546,3,2605,2015,2.5,28906,20275,-41866,4,14.2,11.7,4.4,82,4.8,2.2,4.2,38.9,inf,13.55026559,19.43817407
"1613 Prairie Road, Madison, WI",53711,1,259900,NA,1542.708333,2180.582648,3,2040,1975,2.5,16156,13096,-24194,-1.7,-1.6,-8.6,6.7,77.6,6,22.9,3.9,34.8,inf,9.932360673,14.03916273
"36 Glen Arbor Way, Fitchburg, WI",53711,1,429900,NA,1354.166667,2980.049543,2,2747,2004,2.5,26724,19046,-38842,4.7,8.4,11.4,7.2,73.5,8,19.3,5.3,31.1,inf,12.02161222,26.45538462
